Back to Contents,Data 1: U.S. Product Supplied of Finished Motor Gasoline (Thousand Barrels per Day)
Sourcekey,MGFUPUS2
Date,U.S. Product Supplied of Finished Motor Gasoline (Thousand Barrels per Day)
Jun-1963,4546
Jul-1963,4680
Aug-1963,4711
Sep-1963,4345
Oct-1963,4426
Nov-1963,4259
Dec-1963,4191
Jan-1964,3967
Feb-1964,3965
Mar-1964,4137
Apr-1964,4443
May-1964,4430
Jun-1964,4849
Jul-1964,4769
Aug-1964,4576
Sep-1964,4577
Oct-1964,4526
Nov-1964,4136
Dec-1964,4441
Jan-1965,3916
Feb-1965,4154
Mar-1965,4420
Apr-1965,4585
May-1965,4682
Jun-1965,5054
Jul-1965,4928
Aug-1965,4864
Sep-1965,4632
Oct-1965,4617
Nov-1965,4540
Dec-1965,4691
Jan-1966,4165
Feb-1966,4409
Mar-1966,4593
Apr-1966,4808
May-1966,4827
Jun-1966,5392
Jul-1966,5039
Aug-1966,5212
Sep-1966,4898
Oct-1966,4764
Nov-1966,4818
Dec-1966,4756
Jan-1967,4345
Feb-1967,4510
Mar-1967,4805
Apr-1967,4772
May-1967,5094
Jun-1967,5418
Jul-1967,5161
Aug-1967,5421
Sep-1967,5001
Oct-1967,5085
Nov-1967,5066
Dec-1967,4791
Jan-1968,4693
Feb-1968,4915
Mar-1968,4933
Apr-1968,5325
May-1968,5359
Jun-1968,5458
Jul-1968,5728
Aug-1968,5699
Sep-1968,5233
Oct-1968,5408
Nov-1968,5213
Dec-1968,5148
Jan-1969,5047
Feb-1969,5131
Mar-1969,5071
Apr-1969,5538
May-1969,5652
Jun-1969,5690
Jul-1969,5995
Aug-1969,5895
Sep-1969,5636
Oct-1969,5652
Nov-1969,5391
Dec-1969,5581
Jan-1970,5245
Feb-1970,5341
Mar-1970,5538
Apr-1970,5651
May-1970,5862
Jun-1970,6193
Jul-1970,6247
Aug-1970,6069
Sep-1970,5934
Oct-1970,5907
Nov-1970,5570
Dec-1970,5822
Jan-1971,5264
Feb-1971,5478
Mar-1971,5839
Apr-1971,6198
May-1971,5902
Jun-1971,6452
Jul-1971,6432
Aug-1971,6296
Sep-1971,6068
Oct-1971,6033
Nov-1971,6114
Dec-1971,6070
Jan-1972,5548
Feb-1972,5710
Mar-1972,6412
Apr-1972,6283
May-1972,6445
Jun-1972,6822
Jul-1972,6673
Aug-1972,6938
Sep-1972,6453
Oct-1972,6350
Nov-1972,6479
Dec-1972,6378
Jan-1973,6118
Feb-1973,6437
Mar-1973,6513
Apr-1973,6541
May-1973,6907
Jun-1973,6964
