date,production
12/31/2021,11800
01/7/2022,11700
01/14/2022,11700
01/21/2022,11600
01/28/2022,11500
02/4/2022,11600
02/11/2022,11600
02/18/2022,11600
02/25/2022,11600
03/4/2022,11600
03/11/2022,11600
03/18/2022,11600
03/25/2022,11700
04/1/2022,11800
04/8/2022,11800
04/15/2022,11900
04/22/2022,11900
04/29/2022,11900
05/6/2022,11800
05/13/2022,11900
05/20/2022,11900
05/27/2022,11900
06/3/2022,11900
06/10/2022,12000
06/17/2022,12000
06/24/2022,12100
07/1/2022,12100
07/8/2022,12000
07/15/2022,11900
07/22/2022,12100
07/29/2022,12100
08/5/2022,12200
08/12/2022,12100
08/19/2022,12000
08/26/2022,12100
09/2/2022,12100
09/9/2022,12100
09/16/2022,12100
09/23/2022,12000
09/30/2022,12000
10/7/2022,11900
10/14/2022,12000
10/21/2022,12000
10/28/2022,11900
11/4/2022,12100
11/11/2022,12100
11/18/2022,12100
11/25/2022,12100
12/2/2022,12200
12/9/2022,12100
12/16/2022,12100
12/23/2022,12000
12/30/2022,12100
01/6/2023,12200
01/13/2023,12200
01/20/2023,12200
01/27/2023,12200
02/3/2023,12300
02/10/2023,12300
02/17/2023,12300
02/24/2023,12300
03/3/2023,12200
03/10/2023,12200
03/17/2023,12300
03/24/2023,12200
03/31/2023,12200
04/7/2023,12300
04/14/2023,12300
04/21/2023,12200
04/28/2023,12300
05/5/2023,12300
05/12/2023,12200
05/19/2023,12300
05/26/2023,12200
06/2/2023,12400
06/9/2023,12400
06/16/2023,12200
06/23/2023,12200
06/30/2023,12400
07/7/2023,12300
07/14/2023,12300
07/21/2023,12200
07/28/2023,12200
08/4/2023,12600
08/11/2023,12700
08/18/2023,12800
08/25/2023,12800
09/1/2023,12800
09/8/2023,12900
09/15/2023,12900
09/22/2023,12900
09/29/2023,12900
10/6/2023,13200
10/13/2023,13200
10/20/2023,13200
10/27/2023,13200
11/3/2023,13200
11/10/2023,13200
11/17/2023,13200
11/24/2023,13200
12/1/2023,13100
12/8/2023,13100
12/15/2023,13300
12/22/2023,13300
12/29/2023,13200
1/5/2024,13200
1/12/2024,13300
1/19/2024,12300
1/26/2024,13000
2/2/2024,13300
2/9/2024,13300
2/16/2024,13300
2/23/2024,13300
3/1/2024,13200
3/8/2024,13100
3/15/2024,13100
3/22/2024,13100
3/29/2024,13100
4/5/2024,13100
4/12/2024,13100
4/19/2024,13100
