,ds,y,Capacity
393,2016-05-13,8791,18317
394,2016-05-06,8802,18317
395,2016-04-29,8825,18315
396,2016-04-22,8938,18315
397,2016-04-15,8953,18186
398,2016-04-08,8977,18172
399,2016-04-01,9008,18172
400,2016-03-25,9022,18172
401,2016-03-18,9038,18172
402,2016-03-11,9068,18172
403,2016-03-04,9078,18172
404,2016-02-26,9077,18172
405,2016-02-19,9102,18172
406,2016-02-12,9135,18172
407,2016-02-05,9186,18172
408,2016-01-29,9214,18125
409,2016-01-22,9221,18125
410,2016-01-15,9235,18125
411,2016-01-08,9227,18125
412,2016-01-01,9219,18125
413,2015-12-25,9202,18125
414,2015-12-18,9179,18125
415,2015-12-11,9176,18125
416,2015-12-04,9164,18125
417,2015-11-27,9202,18059
418,2015-11-20,9165,18059
419,2015-11-13,9182,18059
420,2015-11-06,9185,18059
421,2015-10-30,9160,18058
422,2015-10-23,9112,18058
423,2015-10-16,9096,18058
424,2015-10-09,9096,18058
425,2015-10-02,9172,18017
426,2015-09-25,9096,18017
427,2015-09-18,9136,18017
428,2015-09-11,9117,18017
429,2015-09-04,9135,18017
430,2015-08-28,9218,17962
431,2015-08-21,9337,17962
432,2015-08-14,9348,17962
433,2015-08-07,9395,17962
434,2015-07-31,9465,17962
435,2015-07-24,9413,17962
436,2015-07-17,9558,17962
437,2015-07-10,9562,17962
438,2015-07-03,9604,17874
439,2015-06-26,9595,17874
440,2015-06-19,9604,17874
441,2015-06-12,9589,17874
442,2015-06-05,9610,17874
443,2015-05-29,9586,17873
444,2015-05-22,9566,17873
445,2015-05-15,9262,17873
446,2015-05-08,9374,17873
447,2015-05-01,9369,17873
448,2015-04-24,9373,17889
449,2015-04-17,9366,17889
450,2015-04-10,9384,17889
451,2015-04-03,9404,17889
452,2015-03-27,9386,17791
453,2015-03-20,9422,17791
454,2015-03-13,9419,17791
455,2015-03-06,9366,17791
456,2015-02-27,9324,17790
457,2015-02-20,9285,17790
458,2015-02-13,9280,17790
459,2015-02-06,9226,17790
460,2015-01-30,9177,17830
461,2015-01-23,9213,17830
462,2015-01-16,9186,17830
463,2015-01-09,9192,17830
464,2015-01-02,9132,17814
465,2014-12-26,9121,17814
466,2014-12-19,9127,17814
467,2014-12-12,9137,17814
468,2014-12-05,9118,17814
469,2014-11-28,9083,17814
470,2014-11-21,9077,17814
471,2014-11-14,9004,17814
472,2014-11-07,9063,17814
473,2014-10-31,8972,17814
474,2014-10-24,8970,17814
475,2014-10-17,8934,17814
476,2014-10-10,8951,17814
477,2014-10-03,8875,17814
478,2014-09-26,8837,17814
479,2014-09-19,8867,17814
480,2014-09-12,8838,17814
481,2014-09-05,8590,17804
482,2014-08-29,8630,17931
483,2014-08-22,8631,17931
484,2014-08-15,8577,17931
485,2014-08-08,8556,17931
