"Series Key",EBA.US48-ALL.D.H
"Series Name","EBA.US48-ALL.D.H, hourly"
Units,megawatthours
Frequency,H
"Start Date",20231102T20
"End Date",20230408T13
Source,"EIA, U.S. Energy Information Administration"

20230923T18,480907
20230923T17,464662
20230923T16,446439
20230923T15,427481
20230923T14,408703
20230923T13,391264
20230923T12,380540
20230923T11,374462
20230923T10,371603
20230923T09,374528
20230923T08,382106
20230923T07,394437
20230923T06,410723
20230923T05,429673
20230923T04,451967
20230923T03,474150
20230923T02,494047
20230923T01,511149
20230923T00,525216
20230922T23,538913
20230922T22,544746
20230922T21,541134
20230922T20,534347
20230922T19,524867
20230922T18,512185
20230922T17,497385
20230922T16,480437
20230922T15,463019
20230922T14,446782
20230922T13,434630
20230922T12,424010
20230922T11,408004
20230922T10,391533
20230922T09,386126
20230922T08,390570
20230922T07,401110
20230922T06,417298
20230922T05,438340
20230922T04,463916
20230922T03,490920
20230922T02,515079
20230922T01,533819
20230922T00,544147
20230921T23,553813
20230921T22,559207
20230921T21,555883
20230921T20,547405
20230921T19,534908
20230921T18,519814
20230921T17,501814
20230921T16,482147
20230921T15,462973
20230921T14,446550
20230921T13,434271
20230921T12,423675
20230921T11,406730
20230921T10,389925
20230921T09,384214
20230921T08,388704
20230921T07,399539
20230921T06,415477
20230921T05,436276
20230921T04,462338
20230921T03,489075
20230921T02,515110
20230921T01,532707
20230921T00,542224
20230920T23,551520
20230920T22,554600
20230920T21,548799
20230920T20,538049
20230920T19,524834
20230920T18,508469
20230920T17,495046
20230920T16,472055
20230920T15,454831
20230920T14,438795
20230920T13,427228
20230920T12,417375
20230920T11,400092
20230920T10,382229
20230920T09,378292
20230920T08,382293
20230920T07,392739
20230920T06,408232
20230920T05,428816
20230920T04,454696
20230920T03,482000
20230920T02,507306
20230920T01,526412
20230920T00,535514
20230919T23,542246
20230919T22,543859
20230919T21,537662
20230919T20,526719
20230919T19,514578
20230919T18,504706
20230919T17,485829
20230919T16,466580
20230919T15,449684
20230919T14,435142
20230919T13,424592
20230919T12,413891
20230919T11,397687
20230919T10,381753
20230919T09,376716
20230919T08,380690
20230919T07,391425
20230919T06,407492
20230919T05,427989
20230919T04,454317
20230919T03,482250
20230919T02,509154
20230919T01,530457
20230919T00,542625
20230918T23,550615
20230918T22,551798
20230918T21,545800
20230918T20,536348
20230918T19,525007
20230918T18,511994
20230918T17,498667
20230918T16,477120
20230918T15,458672
20230918T14,441714
20230918T13,427348
20230918T12,413666
20230918T11,395178
20230918T10,377926
20230918T09,371766
20230918T08,374775
20230918T07,384195
20230918T06,399211
20230918T05,417829
20230918T04,441576
20230918T03,467315
20230918T02,490873
20230918T01,508433
20230918T00,515352
20230917T23,518650
20230917T22,516133
20230917T21,506462
20230917T20,493676
20230917T19,480974
20230917T18,465782
20230917T17,448068
20230917T16,427125
20230917T15,407261
20230917T14,390046
20230917T13,374640
20230917T12,366230
20230917T11,363303
20230917T10,362039
20230917T09,364674
20230917T08,371923
20230917T07,382852
20230917T06,397110
20230917T05,415359
20230917T04,436171
20230917T03,457336
20230917T02,476089
20230917T01,491379
20230917T00,499238
20230916T23,505569
20230916T22,507439
20230916T21,501837
20230916T20,492239
20230916T19,481746
20230916T18,469105
20230916T17,455567
20230916T16,437995
20230916T15,420018
20230916T14,403966
20230916T13,390154
20230916T12,378915
20230916T11,374034
20230916T10,370455
20230916T09,372477
20230916T08,379507
20230916T07,390795
20230916T06,407368
20230916T05,428150
20230916T04,452125
20230916T03,475517
20230916T02,497087
20230916T01,513764
20230916T00,523940
20230915T23,533080
20230915T22,537305
20230915T21,533107
20230915T20,524739
20230915T19,513197
20230915T18,500387
20230915T17,486280
